,id,cidade,estado,data,precipitacao
0,1000,São Paulo,SP,2021-01-01,49.4
1,1010,São Paulo,SP,2021-01-02,0.0
2,1020,São Paulo,SP,2021-01-03,0.4
3,1030,São Paulo,SP,2021-01-04,0.0
4,1040,São Paulo,SP,2021-01-05,0.0
5,1050,São Paulo,SP,2021-01-06,1.4
6,1060,São Paulo,SP,2021-01-07,1.0
7,1070,São Paulo,SP,2021-01-08,0.6
8,1080,São Paulo,SP,2021-01-09,8.2
9,1090,São Paulo,SP,2021-01-10,2.0
10,1100,São Paulo,SP,2021-01-11,6.8
11,1110,São Paulo,SP,2021-01-12,44.2
12,1120,São Paulo,SP,2021-01-13,0.2
13,1130,São Paulo,SP,2021-01-14,1.6
14,1140,São Paulo,SP,2021-01-15,41.2
15,1150,São Paulo,SP,2021-01-16,0.2
16,1160,São Paulo,SP,2021-01-17,0.0
17,1170,São Paulo,SP,2021-01-18,0.6
18,1180,São Paulo,SP,2021-01-19,6.8
19,1190,São Paulo,SP,2021-01-20,0.4
20,1200,São Paulo,SP,2021-01-21,0.8
21,1210,São Paulo,SP,2021-01-22,2.6
22,1220,São Paulo,SP,2021-01-23,0.2
23,1230,São Paulo,SP,2021-01-24,12.6
24,1240,São Paulo,SP,2021-01-25,4.2
25,1250,São Paulo,SP,2021-01-26,2.0
26,1260,São Paulo,SP,2021-01-27,0.0
27,1270,São Paulo,SP,2021-01-28,22.2
28,1280,São Paulo,SP,2021-01-29,0.0
29,1290,São Paulo,SP,2021-01-30,0.0
30,1300,São Paulo,SP,2021-01-31,0.0
31,1310,São Paulo,SP,2021-02-01,0.8
32,1320,São Paulo,SP,2021-02-02,20.8
33,1330,São Paulo,SP,2021-02-03,0.0
34,1340,São Paulo,SP,2021-02-04,0.0
35,1350,São Paulo,SP,2021-02-05,19.8
36,1360,São Paulo,SP,2021-02-06,0.2
37,1370,São Paulo,SP,2021-02-07,0.0
38,1380,São Paulo,SP,2021-02-08,0.0
39,1390,São Paulo,SP,2021-02-09,0.0
40,1400,São Paulo,SP,2021-02-10,2.8
41,1410,São Paulo,SP,2021-02-11,8.2
42,1420,São Paulo,SP,2021-02-12,0.4
43,1430,São Paulo,SP,2021-02-13,24.2
44,1440,São Paulo,SP,2021-02-14,0.0
45,1450,São Paulo,SP,2021-02-15,11.2
46,1460,São Paulo,SP,2021-02-16,0.0
47,1470,São Paulo,SP,2021-02-17,9.8
48,1480,São Paulo,SP,2021-02-18,2.4
49,1490,São Paulo,SP,2021-02-19,0.0
50,1500,São Paulo,SP,2021-02-20,0.0
51,1510,São Paulo,SP,2021-02-21,0.0
52,1520,São Paulo,SP,2021-02-22,0.0
53,1530,São Paulo,SP,2021-02-23,0.0
54,1540,São Paulo,SP,2021-02-24,18.0
55,1550,São Paulo,SP,2021-02-25,12.4
56,1560,São Paulo,SP,2021-02-26,4.6
57,1570,São Paulo,SP,2021-02-27,21.6
58,1580,São Paulo,SP,2021-02-28,21.4
59,1590,São Paulo,SP,2021-03-01,0.4
60,1600,São Paulo,SP,2021-03-02,0.0
61,1610,São Paulo,SP,2021-03-03,0.0
62,1620,São Paulo,SP,2021-03-04,2.8
63,1630,São Paulo,SP,2021-03-05,0.2
64,1640,São Paulo,SP,2021-03-06,55.4
65,1650,São Paulo,SP,2021-03-07,7.2
66,1660,São Paulo,SP,2021-03-08,0.4
67,1670,São Paulo,SP,2021-03-09,0.0
68,1680,São Paulo,SP,2021-03-10,0.0
69,1690,São Paulo,SP,2021-03-11,16.6
70,1700,São Paulo,SP,2021-03-12,0.6
71,1710,São Paulo,SP,2021-03-13,0.0
72,1720,São Paulo,SP,2021-03-14,1.0
73,1730,São Paulo,SP,2021-03-15,0.0
74,1740,São Paulo,SP,2021-03-16,0.0
75,1750,São Paulo,SP,2021-03-17,0.0
76,1760,São Paulo,SP,2021-03-18,16.2
77,1770,São Paulo,SP,2021-03-19,11.6
78,1780,São Paulo,SP,2021-03-20,0.0
79,1790,São Paulo,SP,2021-03-21,0.0
80,1800,São Paulo,SP,2021-03-22,0.0
81,1810,São Paulo,SP,2021-03-23,0.0
82,1820,São Paulo,SP,2021-03-24,0.0
83,1830,São Paulo,SP,2021-03-25,0.0
84,1840,São Paulo,SP,2021-03-26,0.0
85,1850,São Paulo,SP,2021-03-27,0.0
86,1860,São Paulo,SP,2021-03-28,0.2
87,1870,São Paulo,SP,2021-03-29,0.6
88,1880,São Paulo,SP,2021-03-30,4.4
89,1890,São Paulo,SP,2021-03-31,0.0
90,1900,São Paulo,SP,2021-04-01,0.0
91,1910,São Paulo,SP,2021-04-02,1.0
92,1920,São Paulo,SP,2021-04-03,0.0
93,1930,São Paulo,SP,2021-04-04,0.0
94,1940,São Paulo,SP,2021-04-05,0.0
95,1950,São Paulo,SP,2021-04-06,15.8
96,1960,São Paulo,SP,2021-04-07,0.4
97,1970,São Paulo,SP,2021-04-08,0.0
98,1980,São Paulo,SP,2021-04-09,0.0
99,1990,São Paulo,SP,2021-04-10,0.0
100,2000,São Paulo,SP,2021-04-11,0.0
101,2010,São Paulo,SP,2021-04-12,0.0
102,2020,São Paulo,SP,2021-04-13,0.8
103,2030,São Paulo,SP,2021-04-14,0.0
104,2040,São Paulo,SP,2021-04-15,0.0
105,2050,São Paulo,SP,2021-04-16,0.0
106,2060,São Paulo,SP,2021-04-17,0.6
107,2070,São Paulo,SP,2021-04-18,28.4
108,2080,São Paulo,SP,2021-04-19,1.2
109,2090,São Paulo,SP,2021-04-20,2.2
110,2100,São Paulo,SP,2021-04-21,0.2
111,2110,São Paulo,SP,2021-04-22,1.6
112,2120,São Paulo,SP,2021-04-23,0.0
113,2130,São Paulo,SP,2021-04-24,0.0
114,2140,São Paulo,SP,2021-04-25,0.0
115,2150,São Paulo,SP,2021-04-26,1.0
116,2160,São Paulo,SP,2021-04-27,0.0
117,2170,São Paulo,SP,2021-04-28,0.4
118,2180,São Paulo,SP,2021-04-29,0.6
119,2190,São Paulo,SP,2021-04-30,0.2
120,2200,São Paulo,SP,2021-05-01,0.0
121,2210,São Paulo,SP,2021-05-02,0.0
122,2220,São Paulo,SP,2021-05-03,0.0
123,2230,São Paulo,SP,2021-05-04,0.2
124,2240,São Paulo,SP,2021-05-05,0.0
125,2250,São Paulo,SP,2021-05-06,0.0
126,2260,São Paulo,SP,2021-05-07,0.0
127,2270,São Paulo,SP,2021-05-08,0.0
128,2280,São Paulo,SP,2021-05-09,0.0
129,2290,São Paulo,SP,2021-05-10,0.0
